,Mean,Median,Std
LALPATHLAB.NS,1082.54545455,1091.075,27.6573738395
LAOPALA.NS,476.0,471.55,17.0330629236
LAXMIMACH.NS,3919.22272727,3917.3,58.4495702478
LICHSGFIN.NS,542.568181818,544.625,14.6105532539
LINDEINDIA.NS,359.729544545,356.60001,10.1621522524
LITL.NS,3.775,3.75,0.199271930601
LT.NS,1406.25909091,1392.925,53.8907381618
LUPIN.NS,1484.26590909,1488.75,23.581823836
MAGMA.NS,100.7875,99.8,3.51677251944
MAHINDCIE.NS,189.680681818,190.825,7.11112963182
MAHLIFE.NS,358.597727273,358.525,5.59619840383
MANAPPURAM.NS,74.5988636364,73.075,9.71771032844
MANPASAND.NS,583.056818182,560.95,52.3537993012
MARICO.NS,255.848863636,255.975,6.09933695822
MARKSANS.NS,40.1056818182,39.975,1.36084002396
MARUTI.NS,5597.89545455,5669.175,357.537588334
MAYURUNIQ.NS,356.35,352.825,16.1796347732
MCLEODRUSS.NS,150.578409091,150.875,8.49935974146
MERCK.NS,975.0875,979.175,24.6100403149
MFSL.NS,560.728409091,557.275,23.4997560545
MHRIL.NS,407.065909091,400.725,16.3912617557
MINDTREE.NS,485.956818182,487.6,21.0182384557
MMTC.NS,60.7613636364,63.525,7.68265082368
MOIL.NS,371.918181818,366.05,23.2226034909
MONSANTO.NS,2268.77727273,2256.95,26.0310379466
MOTHERSUMI.NS,327.730683409,327.425005,9.12961002409
MOTILALOFS.NS,535.214772727,525.075,28.2434383809
MPHASIS.NS,545.209090909,542.05,18.1371720082
MRF.NS,51472.1409091,51677.3,1790.08463712
MRPL.NS,101.668181818,101.875,7.34305629061
MTNL.NS,20.3761363636,20.0,1.70455916133
MUTHOOTFIN.NS,298.293181818,294.025,23.8498271431
MYSOREBANK.NS,544.660227273,539.5,18.06654553
NATCOPHARM.NS,635.755681818,634.65,52.6193871955
NATIONALUM.NS,68.0568181818,68.025,6.42945249676
NAUKRI.NS,856.856818182,851.525,23.9113371741
NAVINFLUOR.NS,2620.06590909,2664.1,158.573687578
NAVKARCORP.NS,171.261363636,171.875,5.30372689978
NBCC.NS,322.372954545,334.915,48.824091679
NCC.NS,82.4715909091,82.825,2.72380542895
NETWORK18.NS,35.4397727273,35.65,1.6190572747
NH.NS,337.218181818,338.3,3.89031431308
NHPC.NS,28.0920454545,27.4,1.6058013714
NIITTECH.NS,427.404545455,427.95,7.59522354634
NILKAMAL.NS,1459.06590909,1471.225,148.685716527
NITINFIRE.NS,27.9159090909,28.025,2.65572599296
NLCINDIA.NS,84.9261363636,83.75,8.58010468194
NMDC.NS,136.605681818,138.55,9.68062807825
NTPC.NS,167.386363636,165.45,5.28496511216
OBEROIRLTY.NS,312.190909091,310.725,11.9542503521
OCL.NS,804.211363636,784.1,87.9234926828
OFSS.NS,3267.00909091,3210.175,160.662368162
OIL.NS,358.349613636,341.594,40.6762787985
OMAXE.NS,161.848863636,160.4,3.90672480201
ONGC.NS,198.587863636,199.6,4.94053734292
ORIENTBANK.NS,114.538636364,114.925,6.88698522861
ORIENTCEM.NS,129.095454545,127.775,5.76814445782
ORISSAMINE.NS,2261.56931818,2282.125,114.694829781
PAGEIND.NS,13964.5613636,14004.65,431.964964781
PCJEWELLER.NS,386.472727273,388.725,13.8648520591
PEL.NS,1680.81704545,1705.05,95.9467063453
PERSISTENT.NS,615.326136364,614.25,15.5057809498
PETRONET.NS,372.270454545,373.625,9.99801328045
PFC.NS,130.178409091,130.775,6.08200163776
PFIZER.NS,1806.71818182,1799.025,27.1231324315
PFS.NS,40.2227272727,39.475,2.29231411829
PGHH.NS,6890.89204545,6931.475,117.392946751
PHOENIXLTD.NS,363.557954545,364.475,10.2379534609
