,Company,BSE_Symbol,NSE_Symbol
84,Central Bank,532885,CENTRALBK
85,Century,500040,CENTURYTEX
86,CenturyPlyboard,532548,CENTURYPLY
87,Cera Sanitary,532443,CERA
88,CESC,500084,CESC
89,Chambal Fert,500085,CHAMBLFERT
90,Chennai Petro,500110,CHENNPETRO
91,Cholamandalam,511243,CHOLAFIN
92,Cipla,500087,CIPLA
93,City Union Bank,532210,CUB
94,Clariant Chem,506390,CLNINDIA
95,Claris Life,533288,
96,CMC,517326,CMC
97,Coal India,533278,COALINDIA
98,Colgate,500830,COLPAL
99,Container Corp,531344,CONCOR
100,Coromandel Int,506395,COROMANDEL
101,Corporation Bk,532179,CORPBANK
102,Cox & Kings,533144,COX&KINGS
103,CRISIL,500092,CRISIL
104,Crompton Greave,500093,CROMPGREAV
105,Cummins,500480,CUMMINSIND
106,Cyient,532175,CYIENT
107,Dabur India,500096,DABUR
108,Dalmia Bharat,533309,DALMIABHA
109,DB Corp,533151,DBCORP
110,DB Realty,533160,DBREALTY
111,DCB Bank,532772,DCBBANK
112,DCM Shriram,523367,DCMSHRIRAM
113,Deepak Fert,500645,DEEPAKFERT
114,Delta Corp,532848,DELTACORP
115,Den Networks,533137,DEN
116,Dena Bank,532121,DENABANK
117,Dewan Housing,511072,DHFL
118,Dhanuka Agritec,507717,DHANUKA
119,Dish TV,532839,DISHTV
120,Dishman Pharma,532526,DISHMAN
121,Divis Labs,532488,DIVISLAB
122,DLF,532868,DLF
123,Dr Reddys Labs,500124,DRREDDY
124,Dynamatic Tech,505242,DYNAMATECH
125,eClerx Services,532927,ECLERX
126,Edelweiss,532922,EDELWEISS
127,Eicher Motors,505200,EICHERMOT
128,EID Parry,500125,EIDPARRY
129,EIH,500840,EIHOTEL
130,Elgi Equipments,522074,ELGIEQUIP
131,Emami,531162,EMAMILTD
132,EngineersInd,532178,ENGINERSIN
133,Ent Network Ind,532700,ENIL
134,Eros Intl,533261,EROSMEDIA
135,Escorts,500495,ESCORTS
136,Essar Ports,500630,ESSARPORTS
137,Essel Propack,500135,ESSELPACK
138,Eveready Ind,531508,EVEREADY
139,Exide Ind,500086,EXIDEIND
140,FAG Bearings,505790,FAGBEARING
141,FDC,531599,FDC
142,Federal Bank,500469,FEDERALBNK
143,Finolex Cables,500144,FINCABLES
144,Finolex Ind,500940,FINPIPE
145,Firstsource Sol,532809,FSL
146,Force Motors,500033,BAJAJTEMPO
147,Fortis Health,532843,FORTIS
148,Future Consumer,533400,FCONSUMER
149,Future Ent,523574,FEL
150,Future Life,536507,FLFL
151,GAIL,532155,GAIL
152,Gateway Distri,532622,GDL
153,Gati,532345,GATI
154,Gayatri Project,532767,GAYAPROJ
155,GE Power India,532309,GEPIL
156,GE Shipping,500620,GESHIP
157,GE T&D India,522275,GET&D
158,Geometric,532312,GEOMETRIC
159,GIC Housing Fin,511676,GICHSGFIN
160,Gillette India,507815,GILLETTE
161,GlaxoSmith Con,500676,GSKCONS
162,GlaxoSmithKline,500660,GLAXO
163,Glenmark,532296,GLENMARK
164,Global Offshore,501848,GLOBOFFS
165,GMR Infra,532754,GMRINFRA
166,Godfrey Phillip,500163,GODFRYPHLP
167,Godrej Consumer,532424,GODREJCP
168,Godrej Ind,500164,GODREJIND
169,Godrej Prop,533150,GODREJPROP
170,Gold Line,538180,
171,Granules India,532482,GRANULES
172,Grasim,500300,GRASIM
173,Greaves Cotton,501455,GREAVESCOT
174,Greenply Ind,526797,GREENPLY
175,Grindwell Norto,506076,GRINDWELL
176,GRUH Finance,511288,GRUH
177,GSFC,500690,GSFC
178,Guj Flourochem,500173,GUJFLUORO
179,Guj Heavy Chem,500171,GHCL
180,Guj Mineral,532181,GMDCLTD
181,Guj State Petro,532702,GSPL
182,Gujarat Gas,539336,GUJGASLTD
183,Gujarat Pipavav,533248,GPPL
184,Gulf Oil Lubric,538567,GULFOILLUB
185,GVK Power,532708,GVKPIL
186,Hathway Cable,533162,HATHWAY
187,Hatsun Agro,531531,HATSUN
188,Havells India,517354,HAVELLS
189,Hawkins Cooker,508486,HAWKINCOOK
190,HCL Info,500179,HCL-INSYS
191,HCL Tech,532281,HCLTECH
192,HDFC,500010,HDFC
193,HDFC Bank,500180,HDFCBANK
194,HDIL,532873,HDIL
195,Heidelberg Cem,500292,HEIDELBERG
196,Hero Motocorp,500182,HEROMOTOCO
197,Hexaware Tech,532129,HEXAWARE
198,HFCL,500183,HFCL
199,Himatsingka Sei,514043,HIMATSEIDE
200,Hind Constr,500185,HCC
201,Hind Copper,513599,HINDCOPPER
202,Hind Zinc,500188,HINDZINC
203,Hindalco,500440,HINDALCO
204,HMT,500191,HMT
205,Honeywell Autom,517174,HONAUT
206,HPCL,500104,HINDPETRO
207,HSIL,500187,HSIL
208,HT Media,532662,HTMEDIA
209,HUL,500696,HINDUNILVR
210,ICICI Bank,532174,ICICIBANK
211,ICRA,532835,ICRA
212,IDBI Bank,500116,IDBI
213,Idea Cellular,532822,IDEA
214,IDFC,532659,IDFC
215,IDFC Bank,539437,IDFCBANK
216,IFB Industries,505726,IFBIND
217,IFCI,500106,IFCI
218,IGL,532514,IGL
219,IIFL Holdings,532636,IIFL
220,ILandFS Trans,533177,IL&FSTRANS
221,India Cements,530005,INDIACEM
222,Indiabulls Hsg,535789,IBULHSGFIN
223,Indiabulls Real,532832,IBREALEST
224,Indian Bank,532814,INDIANB
225,Indian Hotels,500850,INDHOTEL
226,Indo Count,521016,ICIL
227,Indoco Remedies,532612,INDOCO
228,IndusInd Bank,532187,INDUSINDBK
229,Info Edge,532777,NAUKRI
230,Infosys,500209,INFY
231,Ingersoll Rand,500210,INGERRAND
232,INOX Leisure,532706,INOXLEISUR
233,Intellect Desig,538835,INTELLECT
234,Intl Paper APPM,502330,IPAPPM
235,IOB,532388,IOB
236,IOC,530965,IOC
237,Ipca Labs,524494,IPCALAB
238,IRB Infra,532947,IRB
239,ISGEC Heavy Eng,533033,SARASIND
240,ITC,500875,ITC
241,J Kumar Infra,532940,JKIL
242,J. K. Cement,532644,JKCEMENT
243,JagranPrakashan,532705,JAGRAN
244,Jai Corp,512237,JAICORPLTD
245,Jain Irrigation,500219,JISLJALEQS
246,Jaiprakash Asso,532532,JPASSOCIAT
247,Jaiprakash Pow,532627,JPPOWER
248,Jaypee Infra,533207,JPINFRATEC
249,JB Chemicals,506943,JBCHEPHARM
250,JBF Industries,514034,JBFIND
251,Jet Airways,532617,JETAIRWAYS
252,Jindal Steel,532286,JINDALSTEL
253,JK Bank,532209,J&KBANK
254,JK Lakshmi Cem,500380,JKLAKSHMI
255,JK Tyre & Ind,530007,JKTYRE
256,JM Financial,523405,JMFINANCIL
257,Johnson Control,523398,JCHAC
258,JSW Energy,533148,JSWENERGY
259,JSW Steel,500228,JSWSTEEL
260,Jubilant Food,533155,JUBLFOOD
261,Jubilant Life,530019,JUBILANT
262,Just Dial,535648,JUSTDIAL
263,Jyothy Labs,532926,JYOTHYLAB
264,Kajaria Ceramic,500233,KAJARIACER
265,Kalpataru Power,522287,KALPATPOWR
266,Kansai Nerolac,500165,KANSAINER
267,Karnataka Bank,532652,KTKBANK
268,Kaveri Seed,532899,KSCL
269,KEC Intl,532714,KEC
270,Kirloskar Oil,533293,KIRLOSENG
271,Kitex Garments,521248,KITEX
272,Kotak Mahindra,500247,KOTAKBANK
273,KPIT Tech,532400,KPIT
274,KRBL,530813,KRBL
275,KSK Energy Vent,532997,KSK
276,Kwality,531882,KWALITY
277,L&T Finance,533519,L&TFH
278,La Opala RG,526947,LAOPALA
279,Lakshmi Machine,500252,LAXMIMACH
280,Lakshmi Vilas,534690,LAKSHVILAS
281,Larsen,500510,LT
282,LIC Housing Fin,500253,LICHSGFIN
283,Linde India,523457,LINDEINDIA
284,Lupin,500257,LUPIN
285,Lycos Internet,532368,LYCOS
286,M&M,500520,M&M
287,M&M Financial,532720,M&MFIN
288,Magma Fincorp,524000,MAGMA
289,Mahindra CIE,532756,MAHINDCIE
290,Mahindra Holida,533088,MHRIL
291,Mahindra Life,532313,MAHLIFE
292,Manappuram Fin,531213,MANAPPURAM
