,0,1,2
DALMIABHA,1465.24772727,1490.1,89.2408945299
DALMIABHA.NS,1466.225,1490.1,90.143480537
DBCORP,360.334090909,359.275,8.28804914669
DBCORP.NS,359.920454545,359.275,7.7073041901
DBREALTY,38.2295454545,38.4,1.48513740673
DBREALTY.NS,38.2113636364,38.4,1.48539972319
DCBBANK,108.493181818,107.975,3.31606104023
DCBBANK.NS,108.425,107.975,3.20411751464
DCMSHRIRAM,216.277272727,214.75,11.8033664213
DCMSHRIRAM.NS,217.529545455,214.75,15.1687936166
DEEPAKFERT,209.806818182,207.15,9.46833438682
DEEPAKFERT.NS,209.788636364,207.15,9.43731110588
DELTACORP,110.663636364,109.65,8.2874429082
DELTACORP.NS,111.111363636,109.65,9.07787645372
DEN,68.2772727273,67.15,3.23296735555
DEN.NS,68.2477272727,67.15,3.20143112614
DENABANK,33.4045454545,33.375,0.871494213694
DENABANK.NS,33.4,33.375,0.867261700493
DHANUKA,731.809090909,719.375,27.2521542895
DHANUKA.NS,732.806818182,719.375,29.0576819425
DHFL,242.390909091,243.35,5.75592109967
DHFL.NS,242.984090909,243.35,6.68743288998
DISHMAN,219.477272727,219.55,7.72353742161
DISHMAN.NS,221.704545455,219.55,12.2666496094
DISHTV,84.4431818182,84.325,1.64565050494
DISHTV.NS,84.5045454545,84.325,1.7183123705
DIVISLAB,929.979545455,811.225,189.285925482
DIVISLAB.NS,929.920454545,811.225,189.350693574
DLF,115.722727273,113.175,6.73441281904
DLF.NS,115.659090909,113.175,6.63259692665
DREDGECORP,400.940909091,385.9,24.2662446148
DREDGECORP.NS,402.584090909,385.9,26.9791912158
DRREDDY,3087.21816818,3077.8999,55.6954703332
DRREDDY.NS,3077.38863636,3069.20005,51.3883233722
DYNAMATECH,2891.32045455,2903.625,63.388820291
DYNAMATECH.NS,2892.51818182,2903.625,64.3732300644
ECLERX,1399.90909091,1401.45,32.0126933023
ECLERX.NS,1400.42727273,1401.45,32.3195456389
EDELWEISS,94.4977272727,95.9,4.46442224899
EDELWEISS.NS,94.575,95.9,4.5160230608
EICHERMOT,21760.4545455,21780.35,711.795627923
EICHERMOT.NS,21786.3318182,21780.35,752.047338547
EIDPARRY,259.331818182,257.9,12.6051533816
EIDPARRY.NS,259.665909091,257.9,13.2414877092
EIHOTEL,96.775,96.6,2.49874968734
EIHOTEL.NS,96.8954545455,96.775,2.53306275611
EMAMILTD,1004.29318182,1011.45,31.0403550523
EMAMILTD.NS,1005.04545455,1011.45,31.8112061308
ENGINERSIN,347.526136364,317.175,202.330622355
ENGINERSIN.NS,347.692045455,317.175,202.165284422
EQUITAS,148.140909091,147.95,4.12941355123
EQUITAS.NS,148.272727273,148.75,4.14791190362
EROSMEDIA,167.831818182,168.35,6.54685576031
EROSMEDIA.NS,168.311363636,168.35,6.91797059112
ESCORTS,308.390909091,314.025,16.9459760385
ESCORTS.NS,308.6,314.025,17.3323465836
ESSELPACK,245.977272727,246.1,2.42912522334
ESSELPACK.NS,246.113636364,246.1,2.50922971572
EVEREADY,215.931818182,216.975,6.03471199957
EVEREADY.NS,216.011363636,216.975,6.13300850236
EXIDEIND,177.981818182,176.15,5.14482045257
EXIDEIND.NS,177.784090909,176.15,4.84815591755
FAGBEARING,3879.95454545,3888.75,48.6604462163
FAGBEARING.NS,3877.94318182,3886.35,49.0075608731
FDC,218.102272727,218.825,4.907682929
FDC.NS,218.481818182,220.525,5.03299932953
FEDERALBNK,67.0431818182,67.1,2.02733084284
FEDERALBNK.NS,67.2181818182,67.1,2.13204269671
FINCABLES,415.8,415.025,7.31918548682
FINCABLES.NS,415.281818182,414.525,7.06511458901
FINPIPE,435.502272727,432.825,7.84215527458
FINPIPE.NS,435.222727273,432.825,7.47912535109
FLFL,127.947727273,125.575,7.5665535539
FLFL.NS,127.706818182,125.575,7.16828822388
FORTIS,182.331818182,182.825,5.72547659598
FORTIS.NS,183.131818182,182.825,7.34395678764
FSL,34.75,34.75,0.0
FSL.NS,34.75,34.75,0.0
GAIL,430.772727273,429.475,8.76240246563
GAIL.NS,430.377272727,429.475,8.32195500258
GATI,114.870454545,115.425,2.77838849708
GATI.NS,114.997727273,115.425,2.90321977551
GAYAPROJ,634.877272727,639.025,23.40940352
GAYAPROJ.NS,634.413636364,639.025,23.1390577957
GDL,237.825,234.675,9.61120068313
GDL.NS,237.613636364,234.675,9.38371413189
GEPIL,484.095454545,479.2,23.2921707114
GEPIL.NS,486.345454545,479.2,27.78111687
GESHIP,367.504545455,365.875,10.2912342391
GESHIP.NS,367.538636364,365.875,10.3516956492
GILLETTE,4274.43181818,4293.125,31.7105868811
GILLETTE.NS,4274.65,4293.125,31.3331066355
GLAXO,2726.33181818,2726.575,13.1378002929
GLAXO.NS,2726.375,2727.45,13.1610061672
GLENMARK,906.768181818,898.4,18.9279306434
GLENMARK.NS,907.193181818,899.45,18.6606110211
GMDCLTD,94.8295454545,94.0,3.9295479896
GMDCLTD.NS,94.9363636364,94.0,4.08205077481
GMRINFRA,11.9227272727,11.75,0.427263516526
GMRINFRA.NS,11.9295454545,11.75,0.437976703802
GODFRYPHLP,954.238636364,956.75,80.0075174025
GODFRYPHLP.NS,955.813636364,956.75,81.9298439459
GODREJCP,1478.30454545,1462.55,37.2948512631
GODREJCP.NS,1480.96136364,1462.55,41.4967093699
GODREJIND,421.404543636,418.90001,13.3132579298
GODREJIND.NS,421.243180455,418.90001,13.0603853601
GODREJPROP,306.197727273,302.675,9.73073771579
GODREJPROP.NS,306.75,302.675,10.4606405158
GPPL,133.715909091,133.975,4.33368276147
GPPL.NS,133.736363636,133.85,4.34078613185
GRANULES,110.390909091,111.175,3.55747490583
GRANULES.NS,109.547727273,110.325,4.13755958877
GRASIM,842.072727273,847.025,20.8639968279
GRASIM.NS,841.906818182,845.875,20.822213959
GREAVESCOT,122.095454545,122.375,2.37009689831
GREAVESCOT.NS,122.090909091,122.175,2.37339601795
GREENPLY,251.365909091,249.125,6.21992547734
GREENPLY.NS,251.663636364,250.975,6.14542380689
GRINDWELL,325.163636364,325.4,3.61946397696
GRINDWELL.NS,325.788636364,325.85,3.25374991789
GRUH,319.504545455,321.65,7.89297320241
GRUH.NS,319.663636364,321.65,8.17573619545
GSFC,95.3704545455,93.6,5.90213155787
GSFC.NS,95.9522727273,93.6,7.00845539115
GSKCONS,5049.46590909,5053.8,61.4914422741
GSKCONS.NS,5049.19090909,5053.8,61.0971603977
GSPL,139.856818182,138.7,4.88340960743
GSPL.NS,139.825,138.7,4.90278710822
GUJFLUORO,476.411363636,474.325,8.58219269099
GUJFLUORO.NS,476.55,474.325,8.58639566269
GUJGASLTD,532.55,532.275,12.254600691
GUJGASLTD.NS,534.459090909,535.875,12.9021559325
GULFOILLUB,655.538636364,663.2,24.928497423
GULFOILLUB.NS,654.356818182,659.3,24.7915466365
GVKPIL,5.54545454545,5.525,0.167551762371
GVKPIL.NS,5.54545454545,5.525,0.167551762371
HATHWAY,34.975,34.55,0.961614465861
HATHWAY.NS,35.05,34.55,1.02562408411
HAVELLS,335.868181818,336.65,15.2217540559
HAVELLS.NS,336.352272727,336.65,16.1132929246
HCC,39.8568181818,39.8,2.07962310313
HCC.NS,39.9340909091,39.8,2.17498693831
HCLTECH,819.038636364,819.975,16.0775570566
HCLTECH.NS,821.190909091,820.8,16.9145868041
HDFC,1238.00454545,1233.85,21.2577991799
HDFC.NS,1237.82727273,1233.85,21.4238836864
HDFCBANK,1186.42272727,1185.85,9.06242539901
HDFCBANK.NS,1187.43409091,1185.85,10.8115501109
HDIL,60.0136363636,60.925,2.94307831304
HDIL.NS,59.9977272727,60.925,2.92479047979
HEIDELBERG,111.704545455,111.45,5.09553747553
HEIDELBERG.NS,111.947727273,111.725,5.06080826578
HEROMOTOCO,3069.42727273,3051.3,67.4546191847
HEROMOTOCO.NS,3067.39772727,3041.875,67.965667939
HEXAWARE,205.468181818,205.825,3.7044550224
HEXAWARE.NS,205.618181818,205.825,3.55519557611
HFCL,12.7068181818,12.8,0.428534450064
HFCL.NS,12.7204545455,12.8,0.447920882392
HIMATSEIDE,291.540909091,293.85,9.34852466542
HIMATSEIDE.NS,291.577272727,293.85,9.37484891653
HINDALCO,163.552272727,160.75,8.506866656
HINDALCO.NS,163.593181818,161.0,8.55098567772
HINDCOPPER,60.1272727273,59.225,2.12992998279
HINDCOPPER.NS,60.4863636364,59.225,2.78277789517
HINDPETRO,438.363636364,431.525,19.4683943001
HINDPETRO.NS,438.765909091,431.525,20.2702831185
HINDUNILVR,817.179545455,820.05,14.8856167322
HINDUNILVR.NS,816.911363636,820.05,14.5955467101
HINDZINC,264.070454545,262.1,10.6094483844
HINDZINC.NS,264.697727273,262.1,10.8373085447
HMVL,267.804545455,268.85,4.40199925064
HMVL.NS,268.084090909,268.85,4.84717360854
HONAUT,8765.25909091,8589.85,337.94503943
HONAUT.NS,8750.73863636,8589.85,318.884069818
HSIL,280.329545455,280.25,2.78553487601
HSIL.NS,280.736363636,280.25,3.37050165187
HTMEDIA,73.3818181818,73.225,1.43124533308
HTMEDIA.NS,73.3386363636,73.225,1.36703814506
IBREALEST,73.2227272727,71.0,3.97766763655
IBREALEST.NS,73.2931818182,71.0,4.10331734131
IBULHSGFIN,651.197727273,648.525,15.0336723429
IBULHSGFIN.NS,653.372727273,648.525,17.5853004583
ICICIBANK,255.520454545,254.85,4.39926019459
ICICIBANK.NS,255.638636364,254.85,4.4949424441
ICIL,160.970454545,160.825,4.52962888974
ICIL.NS,161.240909091,160.825,4.61224138167
ICRA,3957.27045455,3966.95,32.0018067164
ICRA.NS,3956.38181818,3966.95,31.1063557487
IDBI,69.3840909091,69.875,1.55298379193
IDBI.NS,69.6295454545,69.875,1.98420303606
IDEA,73.6977272727,73.325,2.27567244236
IDEA.NS,73.825,74.125,2.26703865995
IDFC,54.2272727273,54.375,1.90298808098
IDFC.NS,54.0931818182,54.375,1.7567756893
IDFCBANK,61.2795454545,60.65,2.45873850209
IDFCBANK.NS,61.3909090909,60.775,2.45529730348
IFCI,26.8363636364,27.2,1.11869203156
IFCI.NS,26.8636363636,27.2,1.14613032357
