,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
VSTIND,2016-11-23,2016-12-06,2209.92,0.01,2250.8,2195.05,-0.03,-0.0,-0.03,0.01
FORTIS,2016-11-23,2016-12-06,174.88,0.02,173.25,168.85,-0.03,-0.0,-0.03,0.04
JUBLFOOD,2016-11-23,2016-12-06,884.18,0.03,881.8,853.5,-0.03,-0.0,-0.04,0.04
GUJFLUORO,2016-11-23,2016-12-06,484.43,0.01,489.4,477.1,-0.03,-0.0,-0.01,0.0
PNCINFRA,2016-11-23,2016-12-06,110.8,0.02,113.95,111.1,-0.03,-0.0,-0.02,0.03
RKFORGE,2016-11-23,2016-12-06,307.93,0.02,312.7,302.6,-0.03,-0.0,-0.04,0.03
PNB,2016-11-23,2016-12-06,136.7,0.01,137.5,134.05,-0.03,-0.0,-0.02,0.02
INOXLEISUR,2016-11-23,2016-12-06,222.12,0.01,224.7,218.9,-0.03,-0.0,-0.03,0.02
SADBHAV,2016-11-23,2016-12-06,274.69,0.01,281.6,272.8,-0.03,-0.0,-0.02,0.01
BPCL,2016-11-23,2016-12-06,630.46,0.02,633.9,612.95,-0.03,-0.0,-0.03,0.02
BRFL,2016-11-23,2016-12-06,143.64,0.05,146.2,142.5,-0.03,-0.0,-0.08,0.09
GSPL,2016-11-23,2016-12-06,152.62,0.02,154.7,150.35,-0.03,-0.0,-0.06,0.02
SYMPHONY,2016-11-23,2016-12-06,1215.32,0.02,1208.35,1159.8,-0.04,-0.0,-0.03,0.03
AHLUCONT,2016-11-23,2016-12-06,247.78,0.02,255.55,246.65,-0.04,-0.0,-0.04,0.04
UNIONBANK,2016-11-23,2016-12-06,148.23,0.02,149.1,143.2,-0.04,-0.0,-0.04,0.02
GLENMARK,2016-11-23,2016-12-06,884.41,0.01,903.0,870.35,-0.04,-0.0,-0.02,0.02
AVANTIFEED,2016-11-23,2016-12-06,500.63,0.02,501.15,481.5,-0.04,-0.0,-0.02,0.03
LAOPALA,2016-11-23,2016-12-06,522.25,0.01,525.8,506.15,-0.04,-0.0,-0.02,0.02
BAJAJCORP,2016-11-23,2016-12-06,367.68,0.01,379.35,364.55,-0.04,-0.0,-0.02,0.01
KOTAKBANK,2016-11-23,2016-12-06,744.37,0.02,766.15,734.0,-0.04,-0.0,-0.03,0.01
REPCOHOME,2016-11-23,2016-12-06,582.03,0.02,583.05,561.45,-0.04,-0.0,-0.03,0.03
GODFRYPHLP,2016-11-23,2016-12-06,929.44,0.01,950.95,912.95,-0.04,-0.0,-0.02,0.01
CRISIL,2016-11-23,2016-12-06,2244.46,0.01,2299.05,2214.0,-0.04,-0.0,-0.03,0.01
HINDPETRO,2016-11-23,2016-12-06,454.92,0.03,454.15,438.3,-0.04,-0.0,-0.05,0.04
SHOPERSTOP,2016-11-23,2016-12-06,296.75,0.01,306.85,294.65,-0.04,-0.0,-0.04,0.01
MANAPPURAM,2016-11-23,2016-12-06,74.36,0.03,77.45,74.45,-0.04,-0.0,-0.06,0.06
MAYURUNIQ,2016-11-23,2016-12-06,366.83,0.02,373.95,360.5,-0.04,-0.0,-0.04,0.02
SITINET,2016-11-23,2016-12-06,35.93,0.01,36.55,35.05,-0.04,-0.0,-0.02,0.03
WABCOINDIA,2016-11-23,2016-12-06,5040.74,0.02,5188.2,5004.65,-0.04,-0.0,-0.03,0.02
DISHMAN,2016-11-23,2016-12-06,238.31,0.01,242.65,233.0,-0.04,-0.0,-0.02,0.02
IDFCBANK,2016-11-23,2016-12-06,68.43,0.02,69.4,66.3,-0.05,-0.01,-0.04,0.02
AXISBANK,2016-11-23,2016-12-06,467.0,0.01,480.5,455.95,-0.05,-0.01,-0.03,0.01
DBCORP,2016-11-23,2016-12-06,361.78,0.01,368.05,348.9,-0.05,-0.01,-0.03,0.01
NH,2016-11-23,2016-12-06,343.78,0.01,351.4,335.3,-0.05,-0.01,-0.02,0.01
TUBEINVEST,2016-11-23,2016-12-06,581.36,0.01,598.85,567.85,-0.05,-0.01,-0.03,0.02
HMVL,2016-11-23,2016-12-06,268.5,0.02,272.4,259.9,-0.05,-0.01,-0.04,0.01
CENTURYPLY,2016-11-23,2016-12-06,177.37,0.02,175.6,167.75,-0.05,-0.01,-0.03,0.02
BRIGADE,2016-11-23,2016-12-06,155.04,0.01,161.45,153.1,-0.05,-0.01,-0.03,0.01
BAJAJHIND,2016-11-23,2016-12-06,14.08,0.01,14.55,13.7,-0.06,-0.01,-0.03,0.01
SEQUENT,2016-11-23,2016-12-06,114.44,0.02,117.45,109.55,-0.07,-0.01,-0.04,0.02
NAUKRI,2016-11-23,2016-12-06,898.96,0.01,934.0,870.85,-0.07,-0.01,-0.02,0.0
HSIL,2016-11-23,2016-12-06,292.3,0.02,303.9,284.35,-0.07,-0.01,-0.04,0.03
WHIRLPOOL,2016-11-23,2016-12-06,928.02,0.03,939.4,872.25,-0.07,-0.01,-0.05,0.07
TATAMOTORS,2016-11-23,2016-12-06,451.22,0.02,471.5,441.1,-0.07,-0.01,-0.04,0.01
RAYMOND,2016-11-23,2016-12-06,504.29,0.02,525.65,485.25,-0.08,-0.01,-0.03,0.02
CHOLAFIN,2016-11-23,2016-12-06,959.38,0.02,990.3,910.35,-0.08,-0.01,-0.04,0.03
INDOCO,2016-11-23,2016-12-06,265.43,0.02,278.5,255.0,-0.09,-0.01,-0.03,0.02
SOMANYCERA,2016-11-23,2016-12-06,516.04,0.02,539.15,492.65,-0.09,-0.01,-0.04,0.02
TVTODAY,2016-11-23,2016-12-06,308.21,0.03,315.25,288.65,-0.09,-0.01,-0.06,0.02
CROMPGREAV,2016-11-23,2016-12-06,73.31,0.04,73.05,66.2,-0.1,-0.01,-0.11,0.05
PRESTIGE,2016-11-23,2016-12-06,152.91,0.01,160.75,144.5,-0.11,-0.01,-0.03,0.01
DEN,2016-11-23,2016-12-06,65.37,0.02,71.6,62.45,-0.14,-0.02,-0.04,0.03
KPRMILL,2016-11-15,2016-11-28,1411.99,0.22,2121.5,1129.9,-0.63,-0.07,-0.68,0.04
KARURVYSYA,2016-11-03,2016-11-16,390.81,0.51,470.75,91.03,-1.64,-0.18,-1.62,0.02
