Date,index,Open,High,Low,Close,Volume,Adj Close,SMA20,SMA50,SMA200,BBAND,MACD,MACD_Signal,MACD_Hist,OBV,MFI,RSI,ADX,WILLR,DAILY_RETURN,OC_DAILY_RETURN
2013-10-21,2902,354.55,359.55,350.0,352.95,2339500,346.405,333.4725,325.207,315.077,0.196468410012,6.38089086389,4.04870232122,2.33218854267,139092300,73.9832782845,64.0387006618,16.4192757802,-13.5942327497,-0.0106517168886,0.00106119561372
2013-10-22,2903,350.5,355.9,349.5,352.15,2870000,345.62,334.565,325.322,315.11175,0.0930490973988,6.80829288626,4.60062043423,2.20767245203,136222300,69.3375616273,63.2817524115,17.5923133529,-15.2420185376,-0.00226661000142,-0.00685512367491
2013-10-23,2904,351.75,354.9,345.5,347.85,2405500,341.4,335.1575,325.413,315.1365,-0.297891091678,6.72254469426,5.02500528624,1.69753940803,133816800,73.5190191841,59.2292519109,18.0815016928,-28.3636363636,-0.0122107056652,-0.00434071016865
2013-10-24,2905,349.0,356.8,347.85,349.65,3009300,343.167,335.9025,325.54,315.11725,-0.182684433703,6.72234261,5.36447275099,1.35786985901,136826100,73.2207323543,60.3732409593,18.7048694128,-24.6575342466,0.00517464424321,-0.00135791881075
2013-10-25,2906,348.2,349.1,342.0,343.5,2354200,337.131,336.8125,325.697,315.0905,-0.422500392793,6.15497809828,5.52257382045,0.632404277831,134471900,73.0782492431,54.7234314784,18.4311662888,-43.9124487004,-0.017589017589,-0.00994775638732
2013-10-28,2907,344.0,348.3,337.1,339.4,2073500,333.107,337.85,326.133,315.00975,-0.391483738035,5.31325401533,5.48070985942,-0.167455844096,132398400,67.01484349,51.2782215395,17.5348871539,-55.3571428571,-0.0119359534207,-0.0119994217146
2013-10-29,2908,341.9,344.9,336.2,341.2,2270400,334.873,338.78,326.588,314.9575,-0.200749757164,4.73682342025,5.33193257159,-0.59510915134,134668800,58.9285214275,52.6865385437,16.5873385161,-60.26272578,0.00530347672363,-0.000438981562774
2013-10-30,2909,340.5,364.5,334.2,360.0,19754300,353.325,340.65,327.813,314.92075,0.443158188153,5.73093821419,5.41173370011,0.319204514078,154423100,71.3894834303,64.2950341211,17.5082865885,-13.7404580153,0.0550996483001,0.0254721124286
2013-10-31,2910,357.85,370.5,356.1,367.1,10451400,360.293,342.79,328.895,314.94675,0.377251034908,7.01087501042,5.73156196217,1.27931304825,164874500,75.3600818831,67.5346701522,18.7658431375,-8.83116883117,0.0197222222222,0.034903640257
2013-11-01,2911,365.0,373.8,362.3,367.2,5371400,360.391,344.7325,330.06,314.98025,0.248769263585,7.9417556911,6.17360070796,1.76815498315,170245900,79.1672442865,67.5792888067,20.1429656853,-16.5829145729,0.000272405339145,0.0100006897027
2013-11-04,2912,367.2,367.2,367.2,367.2,0,360.391,346.93,331.263,315.0295,0.165498127871,8.58057382337,6.65499533104,1.92557849233,170245900,77.8581232303,67.5792888067,21.4217223369,-16.6666666667,0.0,0.00300464354002
2013-11-05,2913,360.6,365.5,356.0,359.6,5387000,352.932,348.305,332.577,315.08,-0.319828047151,8.3770202367,6.99940031217,1.37761992453,164858900,71.6658183485,60.2774164118,21.1203917837,-35.8585858586,-0.020697167756,-0.0193355119826
2013-11-06,2914,360.3,364.75,352.8,355.6,5280300,349.006,349.3775,333.933,315.135,-0.398597294821,7.80298799373,7.16011784848,0.642870145249,159578600,63.719203369,56.7989183191,20.468935583,-45.9595959596,-0.0111234705228,-0.0059705637323
2013-11-07,2915,354.0,358.5,346.8,348.25,3359300,341.793,350.145,334.911,315.17825,-0.392195544517,6.67799990601,7.06369425999,-0.385694353978,156219300,58.0464274079,50.9775132778,19.2058775088,-64.5202020202,-0.0206692913386,-0.0190669087861
2013-11-08,2916,346.05,352.95,342.85,344.0,3067300,337.621,350.6175,335.809,315.25125,-0.332886326319,5.38146508052,6.72724842409,-1.34578334358,153152000,57.479930459,47.9191893049,18.0396358688,-75.2525252525,-0.0122038765255,-0.0173727305091
2013-11-11,2917,341.0,346.5,339.5,341.0,4320100,334.677,351.0125,336.623,315.301,-0.311566331933,4.06501796561,6.1948023324,-2.12978436679,148831900,56.3838803722,45.8291076579,17.2891485366,-82.8282828283,-0.00872093023256,-0.0116658213173
2013-11-12,2918,340.75,343.95,336.05,337.75,2639800,331.487,350.945,337.678,315.366,-0.305422350037,2.72802928053,5.50144772202,-2.77341844149,146192100,56.2575225097,43.6099596727,16.9255934795,-91.0353535354,-0.00953079178886,-0.00513196480938
2013-11-13,2919,339.8,340.0,328.15,332.5,3225500,326.335,350.615,338.384,315.3955,-0.382094462872,1.23063895142,4.6472859679,-3.41664701648,142966600,51.9120543884,40.2217775344,17.2821207921,-90.4709748083,-0.0155440414508,-0.00913780397937
2013-11-14,2920,335.05,344.7,335.05,339.9,2946000,333.597,350.1775,339.258,315.4945,0.0566829254066,0.633758904952,3.84458055531,-3.21082165036,145912600,55.5584161976,46.5279390064,17.0365490627,-74.26067908,0.0222556390977,0.00394169269671
