,Old_Rank,New_Rank,Difference,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
TEXRAIL,442,249,193,2016-12-27,2017-01-02,110.5,0.01,110.85,111.25,0.0,0.0,-0.01,0.02,2017-01-02,2017-01-06,113.37,0.02,111.25,113.0,0.02,0.0,-0.01,0.04
RELIGARE,473,281,192,2016-12-27,2017-01-02,256.11,0.01,253.95,252.25,-0.01,-0.0,-0.02,0.02,2017-01-02,2017-01-06,251.45,0.01,252.25,255.05,0.01,0.0,-0.01,0.02
WONDERLA,470,279,191,2016-12-27,2017-01-02,341.99,0.0,343.4,339.25,-0.01,-0.0,-0.01,0.0,2017-01-02,2017-01-06,341.19,0.01,339.25,344.15,0.01,0.0,-0.0,0.02
TV18BRDCST,339,150,189,2016-12-27,2017-01-02,36.47,0.01,35.95,36.85,0.02,0.01,-0.01,0.01,2017-01-02,2017-01-06,37.51,0.01,36.85,38.0,0.03,0.01,0.0,0.01
TVTODAY,287,100,187,2016-12-27,2017-01-02,261.0,0.01,257.9,265.65,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,278.68,0.04,265.65,275.7,0.04,0.01,-0.03,0.08
SCHNEIDER,308,122,186,2016-12-27,2017-01-02,135.44,0.01,134.7,137.9,0.02,0.01,-0.0,0.02,2017-01-02,2017-01-06,144.23,0.03,137.9,143.75,0.04,0.01,-0.02,0.07
HTMEDIA,345,161,184,2016-12-27,2017-01-02,72.28,0.01,71.95,73.3,0.02,0.0,-0.0,0.01,2017-01-02,2017-01-06,74.74,0.02,73.3,75.6,0.03,0.01,-0.01,0.03
INFIBEAM,400,218,182,2016-12-27,2017-01-02,1166.64,0.0,1155.9,1170.35,0.01,0.0,-0.0,0.01,2017-01-02,2017-01-06,1185.94,0.01,1170.35,1197.2,0.02,0.01,-0.0,0.02
IDFC,236,54,182,2016-12-27,2017-01-02,53.68,0.04,52.35,54.25,0.04,0.01,-0.04,0.06,2017-01-02,2017-01-06,55.54,0.02,54.25,56.85,0.05,0.01,-0.0,0.04
BALLARPUR,454,273,181,2016-12-27,2017-01-02,15.56,0.0,15.6,15.6,0.0,0.0,-0.0,0.0,2017-01-02,2017-01-06,15.86,0.02,15.6,15.75,0.01,0.0,-0.02,0.02
