,Old_Rank,New_Rank,Difference,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
BLUESTARCO,87,233,-146,2016-12-27,2017-01-02,464.93,0.01,450.05,481.7,0.07,0.02,0.0,0.03,2017-01-02,2017-01-06,489.19,0.01,481.7,492.0,0.02,0.01,-0.0,0.02
CUMMINSIND,294,442,-148,2016-12-27,2017-01-02,812.79,0.01,798.25,826.15,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,820.15,0.02,826.15,808.5,-0.02,-0.01,-0.04,0.02
CESC,258,409,-151,2016-12-27,2017-01-02,636.29,0.0,627.95,645.05,0.03,0.01,0.0,0.01,2017-01-02,2017-01-06,644.55,0.01,645.05,640.2,-0.01,-0.0,-0.01,0.0
HCLTECH,279,433,-154,2016-12-27,2017-01-02,817.54,0.01,804.85,828.5,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,835.93,0.02,828.5,814.4,-0.02,-0.0,-0.04,0.03
BALRAMCHIN,24,178,-154,2016-12-27,2017-01-02,123.02,0.01,117.6,130.25,0.1,0.03,0.01,0.04,2017-01-02,2017-01-06,130.84,0.02,130.25,134.6,0.03,0.01,-0.02,0.04
GODREJCP,175,331,-156,2016-12-27,2017-01-02,1488.57,0.0,1454.15,1521.9,0.05,0.01,0.01,0.02,2017-01-02,2017-01-06,1526.59,0.0,1521.9,1522.3,0.0,0.0,-0.0,0.01
ECLERX,194,354,-160,2016-12-27,2017-01-02,1387.17,0.01,1358.3,1416.7,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,1414.42,0.01,1416.7,1415.2,-0.0,-0.0,-0.01,0.01
AKZOINDIA,253,414,-161,2016-12-27,2017-01-02,1405.55,0.02,1377.65,1417.25,0.03,0.01,-0.02,0.03,2017-01-02,2017-01-06,1418.71,0.01,1417.25,1409.05,-0.01,-0.0,-0.01,0.01
JYOTHYLAB,293,455,-162,2016-12-27,2017-01-02,334.94,0.03,327.8,339.05,0.03,0.01,-0.03,0.04,2017-01-02,2017-01-06,335.49,0.0,339.05,332.9,-0.02,-0.0,-0.01,-0.0
RALLIS,125,288,-163,2016-12-27,2017-01-02,193.02,0.03,191.3,202.8,0.06,0.01,-0.01,0.06,2017-01-02,2017-01-06,203.53,0.01,202.8,204.1,0.01,0.0,-0.01,0.01
TRIDENT,144,309,-165,2016-12-27,2017-01-02,56.65,0.01,55.45,58.45,0.05,0.01,0.0,0.03,2017-01-02,2017-01-06,59.25,0.02,58.45,58.8,0.01,0.0,-0.02,0.03
CENTURYPLY,66,232,-166,2016-12-27,2017-01-02,165.58,0.01,161.1,172.15,0.07,0.02,0.01,0.03,2017-01-02,2017-01-06,175.67,0.01,172.15,176.5,0.02,0.01,-0.02,0.02
LUPIN,202,368,-166,2016-12-27,2017-01-02,1472.2,0.0,1446.1,1505.75,0.04,0.01,0.01,0.01,2017-01-02,2017-01-06,1504.88,0.01,1505.75,1512.05,0.0,0.0,-0.01,0.02
GATI,170,339,-169,2016-12-27,2017-01-02,112.81,0.01,111.0,116.6,0.05,0.01,0.0,0.03,2017-01-02,2017-01-06,117.1,0.02,116.6,116.85,0.0,0.0,-0.03,0.02
SKFINDIA,207,379,-172,2016-12-27,2017-01-02,1255.14,0.0,1232.75,1285.35,0.04,0.01,0.01,0.02,2017-01-02,2017-01-06,1284.15,0.0,1285.35,1275.0,-0.01,-0.0,-0.01,0.0
ACC,239,415,-176,2016-12-27,2017-01-02,1316.5,0.01,1294.8,1351.9,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,1336.32,0.01,1351.9,1333.9,-0.01,-0.0,-0.02,0.01
KWALITY,33,210,-177,2016-12-27,2017-01-02,123.28,0.02,116.5,126.85,0.09,0.02,0.0,0.05,2017-01-02,2017-01-06,129.86,0.02,126.85,129.5,0.02,0.01,-0.01,0.03
PVR,31,209,-178,2016-12-27,2017-01-02,1117.92,0.02,1053.5,1155.45,0.09,0.02,0.01,0.05,2017-01-02,2017-01-06,1173.13,0.01,1155.45,1179.75,0.02,0.01,-0.01,0.01
DHFL,171,351,-180,2016-12-27,2017-01-02,243.71,0.01,238.6,249.9,0.05,0.01,-0.01,0.03,2017-01-02,2017-01-06,247.02,0.01,249.9,248.75,-0.0,-0.0,-0.02,0.02
AHLUCONT,297,479,-182,2016-12-27,2017-01-02,258.76,0.01,254.4,260.9,0.03,0.01,-0.0,0.01,2017-01-02,2017-01-06,254.22,0.01,260.9,251.75,-0.04,-0.01,-0.02,0.0
DYNAMATECH,210,394,-184,2016-12-27,2017-01-02,2852.76,0.01,2821.2,2939.0,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,2962.46,0.02,2939.0,2922.0,-0.01,-0.0,-0.02,0.03
BHARATFIN,4,190,-186,2016-12-27,2017-01-02,576.08,0.04,519.4,602.25,0.15,0.04,-0.02,0.1,2017-01-02,2017-01-06,622.44,0.02,602.25,621.65,0.03,0.01,-0.03,0.03
HATHWAY,221,407,-186,2016-12-27,2017-01-02,34.62,0.02,34.35,35.8,0.04,0.01,-0.0,0.04,2017-01-02,2017-01-06,36.23,0.02,35.8,35.4,-0.01,-0.0,-0.03,0.02
GREAVESCOT,216,403,-187,2016-12-27,2017-01-02,120.63,0.01,118.8,123.85,0.04,0.01,-0.0,0.03,2017-01-02,2017-01-06,123.24,0.01,123.85,122.5,-0.01,-0.0,-0.02,0.01
JBCHEPHARM,209,398,-189,2016-12-27,2017-01-02,345.61,0.01,338.65,351.0,0.04,0.01,-0.0,0.02,2017-01-02,2017-01-06,350.08,0.01,351.0,348.75,-0.01,-0.0,-0.01,0.01
GDL,108,298,-190,2016-12-27,2017-01-02,240.42,0.01,233.2,246.7,0.06,0.01,0.0,0.03,2017-01-02,2017-01-06,249.62,0.02,246.7,248.65,0.01,0.0,-0.02,0.03
BAJFINANCE,80,271,-191,2016-12-27,2017-01-02,835.11,0.01,809.75,870.05,0.07,0.02,0.01,0.03,2017-01-02,2017-01-06,880.83,0.02,870.05,878.45,0.01,0.0,-0.02,0.03
TRITURBINE,180,375,-195,2016-12-27,2017-01-02,117.79,0.01,114.4,119.5,0.04,0.01,0.0,0.03,2017-01-02,2017-01-06,119.46,0.01,119.5,118.45,-0.01,-0.0,-0.01,0.01
RENUKA,8,203,-195,2016-12-27,2017-01-02,13.47,0.02,12.85,14.7,0.13,0.03,0.0,0.06,2017-01-02,2017-01-06,14.83,0.01,14.7,14.95,0.02,0.0,-0.0,0.02
TATACOFFEE,152,348,-196,2016-12-27,2017-01-02,112.23,0.01,109.7,115.3,0.05,0.01,0.0,0.02,2017-01-02,2017-01-06,115.56,0.01,115.3,114.9,-0.0,-0.0,-0.01,0.01
BFUTILITIE,120,316,-196,2016-12-27,2017-01-02,386.92,0.01,372.1,393.9,0.06,0.01,0.0,0.03,2017-01-02,2017-01-06,393.63,0.0,393.9,394.25,0.0,0.0,-0.01,0.01
ADANIENT,42,240,-198,2016-12-27,2017-01-02,73.65,0.02,70.9,76.95,0.08,0.02,-0.0,0.05,2017-01-02,2017-01-06,77.82,0.01,76.95,78.65,0.02,0.01,-0.01,0.02
MOTILALOFS,252,450,-198,2016-12-27,2017-01-02,517.14,0.01,509.15,523.5,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,517.74,0.0,523.5,513.7,-0.02,-0.0,-0.01,0.0
ESCORTS,26,226,-200,2016-12-27,2017-01-02,297.79,0.03,288.95,320.75,0.1,0.03,0.0,0.08,2017-01-02,2017-01-06,325.3,0.02,320.75,328.25,0.02,0.01,-0.02,0.03
BAJAJFINSV,86,290,-204,2016-12-27,2017-01-02,2852.2,0.01,2743.55,2949.65,0.07,0.02,0.01,0.03,2017-01-02,2017-01-06,2984.83,0.02,2949.65,2978.55,0.01,0.0,-0.02,0.02
ASHOKA,270,476,-206,2016-12-27,2017-01-02,157.03,0.01,153.95,159.4,0.03,0.01,-0.01,0.03,2017-01-02,2017-01-06,159.51,0.02,159.4,155.0,-0.03,-0.01,-0.03,0.03
RTNPOWER,72,278,-206,2016-12-27,2017-01-02,6.84,0.01,6.65,7.15,0.07,0.02,0.01,0.04,2017-01-02,2017-01-06,7.18,0.01,7.15,7.25,0.01,0.0,-0.01,0.02
JAICORPLTD,60,267,-207,2016-12-27,2017-01-02,70.0,0.03,66.8,72.3,0.08,0.02,0.0,0.07,2017-01-02,2017-01-06,73.65,0.02,72.3,73.25,0.01,0.0,-0.01,0.03
MTNL,259,468,-209,2016-12-27,2017-01-02,20.19,0.02,19.7,20.25,0.03,0.01,-0.01,0.03,2017-01-02,2017-01-06,19.93,0.01,20.25,19.6,-0.03,-0.01,-0.02,0.01
INGERRAND,188,402,-214,2016-12-27,2017-01-02,671.61,0.01,652.5,682.15,0.04,0.01,-0.0,0.03,2017-01-02,2017-01-06,682.59,0.01,682.15,676.7,-0.01,-0.0,-0.02,0.01
SUVEN,89,303,-214,2016-12-27,2017-01-02,168.27,0.01,163.55,172.9,0.06,0.01,0.0,0.04,2017-01-02,2017-01-06,174.72,0.01,172.9,174.0,0.01,0.0,-0.01,0.02
TIMKEN,104,320,-216,2016-12-27,2017-01-02,600.46,0.02,585.2,620.5,0.06,0.01,-0.02,0.04,2017-01-02,2017-01-06,630.64,0.02,620.5,619.3,-0.0,-0.0,-0.02,0.04
EIHOTEL,179,395,-216,2016-12-27,2017-01-02,94.47,0.01,93.8,97.2,0.04,0.01,-0.01,0.02,2017-01-02,2017-01-06,96.56,0.01,97.2,96.6,-0.01,-0.0,-0.01,0.0
INDIACEM,25,245,-220,2016-12-27,2017-01-02,114.91,0.02,111.45,122.65,0.1,0.02,-0.0,0.05,2017-01-02,2017-01-06,123.7,0.01,122.65,125.4,0.02,0.01,-0.0,0.03
SOMANYCERA,240,464,-224,2016-12-27,2017-01-02,482.39,0.01,475.85,488.75,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,483.81,0.01,488.75,475.3,-0.03,-0.01,-0.02,0.0
ZYDUSWELL,161,386,-225,2016-12-27,2017-01-02,861.92,0.02,834.7,875.3,0.05,0.01,-0.01,0.04,2017-01-02,2017-01-06,870.68,0.0,875.3,867.95,-0.01,-0.0,-0.01,0.01
OCL,34,259,-225,2016-12-27,2017-01-02,702.97,0.02,682.45,745.55,0.09,0.02,0.01,0.05,2017-01-02,2017-01-06,756.87,0.01,745.55,755.9,0.01,0.0,-0.01,0.02
SHRIRAMCIT,147,376,-229,2016-12-27,2017-01-02,1809.18,0.01,1769.55,1862.65,0.05,0.01,0.0,0.03,2017-01-02,2017-01-06,1855.43,0.02,1862.65,1836.45,-0.01,-0.0,-0.03,0.02
LAKSHVILAS,245,481,-236,2016-12-27,2017-01-02,140.98,0.01,138.5,142.2,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,139.21,0.0,142.2,136.55,-0.04,-0.01,-0.01,-0.01
EICHERMOT,55,291,-236,2016-12-27,2017-01-02,21480.82,0.01,20701.1,22523.9,0.08,0.02,0.01,0.03,2017-01-02,2017-01-06,22452.64,0.01,22523.9,22717.8,0.01,0.0,-0.01,0.02
IFCI,27,270,-243,2016-12-27,2017-01-02,26.42,0.06,24.8,27.4,0.1,0.02,-0.03,0.13,2017-01-02,2017-01-06,27.64,0.01,27.4,27.75,0.01,0.0,-0.01,0.01
EDELWEISS,193,437,-244,2016-12-27,2017-01-02,96.59,0.01,95.25,98.7,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,98.69,0.01,98.7,96.95,-0.02,-0.0,-0.02,0.01
BAJAJCORP,174,419,-245,2016-12-27,2017-01-02,364.68,0.01,355.7,373.85,0.05,0.01,0.0,0.03,2017-01-02,2017-01-06,373.38,0.01,373.85,370.6,-0.01,-0.0,-0.01,0.01
PHOENIXLTD,232,477,-245,2016-12-27,2017-01-02,370.63,0.01,366.0,379.75,0.04,0.01,-0.0,0.02,2017-01-02,2017-01-06,374.87,0.01,379.75,366.1,-0.04,-0.01,-0.02,-0.0
CCL,121,367,-246,2016-12-27,2017-01-02,262.1,0.02,250.6,266.7,0.06,0.02,-0.0,0.04,2017-01-02,2017-01-06,266.11,0.01,266.7,267.5,0.0,0.0,-0.02,0.02
AJANTPHARM,162,413,-251,2016-12-27,2017-01-02,1776.05,0.01,1735.6,1823.85,0.05,0.01,-0.01,0.02,2017-01-02,2017-01-06,1797.8,0.01,1823.85,1798.8,-0.01,-0.0,-0.01,0.01
RCOM,211,463,-252,2016-12-27,2017-01-02,33.77,0.01,33.3,34.75,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,34.33,0.01,34.75,33.8,-0.03,-0.01,-0.02,0.01
ALLCARGO,231,485,-254,2016-12-27,2017-01-02,176.87,0.01,174.4,181.2,0.04,0.01,-0.01,0.02,2017-01-02,2017-01-06,177.62,0.02,181.2,171.45,-0.06,-0.01,-0.03,0.02
SIMPLEXINF,77,335,-258,2016-12-27,2017-01-02,276.52,0.04,266.9,286.35,0.07,0.02,-0.02,0.08,2017-01-02,2017-01-06,286.12,0.01,286.35,285.95,-0.0,-0.0,-0.01,0.01
MARKSANS,183,444,-261,2016-12-27,2017-01-02,39.89,0.01,39.45,40.95,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,40.74,0.01,40.95,40.3,-0.02,-0.0,-0.01,0.0
ASTRAL,169,434,-265,2016-12-27,2017-01-02,388.53,0.01,380.35,398.3,0.05,0.01,0.0,0.02,2017-01-02,2017-01-06,393.91,0.01,398.3,390.85,-0.02,-0.0,-0.01,0.01
BOSCHLTD,97,362,-265,2016-12-27,2017-01-02,20585.36,0.01,19958.8,21096.1,0.06,0.01,0.0,0.02,2017-01-02,2017-01-06,20849.32,0.02,21096.1,21111.3,0.0,0.0,-0.02,0.03
EVEREADY,41,306,-265,2016-12-27,2017-01-02,211.01,0.02,202.65,219.2,0.08,0.02,-0.0,0.06,2017-01-02,2017-01-06,221.61,0.01,219.2,222.05,0.01,0.0,-0.01,0.01
TATAELXSI,112,381,-269,2016-12-27,2017-01-02,1376.16,0.01,1330.1,1412.75,0.06,0.02,0.01,0.02,2017-01-02,2017-01-06,1411.93,0.02,1412.75,1392.15,-0.01,-0.0,-0.03,0.01
SADBHAV,137,406,-269,2016-12-27,2017-01-02,272.08,0.01,262.9,275.05,0.05,0.01,0.0,0.04,2017-01-02,2017-01-06,274.33,0.0,275.05,273.35,-0.01,-0.0,-0.01,0.0
TTKPRESTIG,107,380,-273,2016-12-27,2017-01-02,5635.01,0.01,5393.55,5739.95,0.06,0.02,0.0,0.04,2017-01-02,2017-01-06,5707.55,0.0,5739.95,5665.95,-0.01,-0.0,-0.01,0.0
RAYMOND,146,421,-275,2016-12-27,2017-01-02,496.12,0.02,491.55,515.35,0.05,0.01,-0.0,0.04,2017-01-02,2017-01-06,516.18,0.03,515.35,511.35,-0.01,-0.0,-0.04,0.02
KALPATPOWR,29,307,-278,2016-12-27,2017-01-02,246.68,0.01,236.35,258.1,0.09,0.02,0.0,0.04,2017-01-02,2017-01-06,261.32,0.02,258.1,259.75,0.01,0.0,-0.01,0.03
AIAENG,197,478,-281,2016-12-27,2017-01-02,1281.98,0.01,1263.3,1319.25,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,1295.42,0.01,1319.25,1271.65,-0.04,-0.01,-0.02,0.01
KAJARIACER,23,308,-285,2016-12-27,2017-01-02,455.26,0.03,441.1,487.7,0.1,0.03,-0.0,0.06,2017-01-02,2017-01-06,490.02,0.01,487.7,492.2,0.01,0.0,-0.01,0.02
MMTC,3,293,-290,2016-12-27,2017-01-02,54.39,0.07,52.35,61.7,0.16,0.04,-0.01,0.16,2017-01-02,2017-01-06,62.3,0.02,61.7,62.25,0.01,0.0,-0.03,0.04
FDC,166,460,-294,2016-12-27,2017-01-02,219.12,0.01,213.45,223.55,0.05,0.01,-0.0,0.02,2017-01-02,2017-01-06,220.94,0.0,223.55,217.35,-0.03,-0.01,-0.01,-0.0
TECHM,187,482,-295,2016-12-27,2017-01-02,480.39,0.01,468.2,488.0,0.04,0.01,-0.0,0.02,2017-01-02,2017-01-06,487.6,0.02,488.0,469.75,-0.04,-0.01,-0.04,0.02
ULTRACEMCO,84,382,-298,2016-12-27,2017-01-02,3230.76,0.01,3156.55,3371.35,0.07,0.02,0.0,0.04,2017-01-02,2017-01-06,3341.01,0.02,3371.35,3322.75,-0.01,-0.0,-0.02,0.02
MFSL,151,451,-300,2016-12-27,2017-01-02,542.55,0.01,531.3,557.55,0.05,0.01,0.0,0.02,2017-01-02,2017-01-06,554.42,0.01,557.55,546.45,-0.02,-0.01,-0.01,0.01
EQUITAS,95,396,-301,2016-12-27,2017-01-02,145.02,0.02,141.7,149.9,0.06,0.01,-0.02,0.03,2017-01-02,2017-01-06,149.18,0.01,149.9,147.95,-0.01,-0.0,-0.01,0.01
NCC,43,345,-302,2016-12-27,2017-01-02,79.83,0.01,76.75,83.55,0.08,0.02,0.01,0.04,2017-01-02,2017-01-06,84.54,0.02,83.55,83.2,-0.0,-0.0,-0.04,0.02
WABCOINDIA,61,374,-313,2016-12-27,2017-01-02,5083.04,0.05,4835.2,5241.85,0.08,0.02,-0.02,0.11,2017-01-02,2017-01-06,5244.07,0.01,5241.85,5206.1,-0.01,-0.0,-0.01,0.0
BAJAJHIND,11,325,-314,2016-12-27,2017-01-02,13.59,0.03,13.05,14.75,0.12,0.03,-0.01,0.06,2017-01-02,2017-01-06,14.96,0.02,14.75,14.75,0.0,0.0,-0.02,0.02
GULFOILLUB,22,337,-315,2016-12-27,2017-01-02,636.08,0.01,600.0,664.8,0.1,0.03,0.01,0.04,2017-01-02,2017-01-06,672.11,0.02,664.8,665.7,0.0,0.0,-0.02,0.03
AMBUJACEM,93,417,-324,2016-12-27,2017-01-02,205.79,0.02,202.9,214.6,0.06,0.01,-0.01,0.04,2017-01-02,2017-01-06,213.78,0.01,214.6,212.6,-0.01,-0.0,-0.01,0.01
JUBLFOOD,131,456,-325,2016-12-27,2017-01-02,837.64,0.01,813.2,859.9,0.06,0.01,-0.0,0.03,2017-01-02,2017-01-06,858.0,0.01,859.9,839.05,-0.02,-0.01,-0.03,0.01
HEIDELBERG,109,441,-332,2016-12-27,2017-01-02,107.9,0.01,104.75,111.45,0.06,0.02,0.01,0.02,2017-01-02,2017-01-06,111.37,0.01,111.45,109.6,-0.02,-0.0,-0.02,0.0
RAIN,124,457,-333,2016-12-27,2017-01-02,53.54,0.01,52.0,54.95,0.06,0.01,0.0,0.03,2017-01-02,2017-01-06,54.63,0.01,54.95,53.7,-0.02,-0.01,-0.02,0.0
GRUH,62,404,-342,2016-12-27,2017-01-02,320.46,0.01,308.4,329.35,0.07,0.02,0.0,0.03,2017-01-02,2017-01-06,327.59,0.01,329.35,327.3,-0.01,-0.0,-0.01,0.01
BLUEDART,85,427,-342,2016-12-27,2017-01-02,4323.83,0.0,4181.35,4467.9,0.07,0.02,0.01,0.02,2017-01-02,2017-01-06,4461.52,0.0,4467.9,4442.3,-0.01,-0.0,-0.01,0.0
MINDTREE,126,470,-344,2016-12-27,2017-01-02,511.71,0.02,486.2,516.7,0.06,0.02,-0.01,0.05,2017-01-02,2017-01-06,514.98,0.03,516.7,500.2,-0.03,-0.01,-0.05,0.04
MANPASAND,128,474,-346,2016-12-27,2017-01-02,534.06,0.02,522.3,553.3,0.06,0.01,-0.0,0.05,2017-01-02,2017-01-06,547.91,0.02,553.3,537.65,-0.03,-0.01,-0.02,0.02
IBULHSGFIN,101,462,-361,2016-12-27,2017-01-02,650.69,0.02,637.15,678.65,0.06,0.02,-0.0,0.04,2017-01-02,2017-01-06,659.15,0.02,678.65,657.45,-0.03,-0.01,-0.03,0.02
GREENPLY,111,473,-362,2016-12-27,2017-01-02,249.54,0.02,242.15,256.95,0.06,0.01,-0.01,0.05,2017-01-02,2017-01-06,250.61,0.02,256.95,248.35,-0.03,-0.01,-0.04,0.01
GRASIM,71,435,-364,2016-12-27,2017-01-02,840.41,0.01,811.4,873.3,0.07,0.02,-0.0,0.04,2017-01-02,2017-01-06,866.09,0.0,873.3,855.25,-0.02,-0.01,-0.01,-0.0
HIMATSEIDE,44,410,-366,2016-12-27,2017-01-02,290.49,0.02,276.15,299.65,0.08,0.02,-0.01,0.04,2017-01-02,2017-01-06,298.95,0.0,299.65,297.45,-0.01,-0.0,-0.01,0.0
PAGEIND,83,453,-370,2016-12-27,2017-01-02,13458.3,0.03,12941.5,13938.5,0.07,0.02,-0.01,0.06,2017-01-02,2017-01-06,13814.92,0.01,13938.5,13704.0,-0.02,-0.0,-0.01,0.0
BRFL,70,440,-370,2016-12-27,2017-01-02,143.35,0.05,138.25,148.8,0.07,0.02,-0.03,0.11,2017-01-02,2017-01-06,148.0,0.01,148.8,145.45,-0.02,-0.01,-0.03,0.01
GAYAPROJ,65,436,-371,2016-12-27,2017-01-02,647.2,0.02,615.7,662.05,0.07,0.02,-0.01,0.05,2017-01-02,2017-01-06,657.41,0.01,662.05,650.45,-0.02,-0.0,-0.02,0.01
HEXAWARE,106,480,-374,2016-12-27,2017-01-02,204.47,0.0,198.55,210.15,0.06,0.01,0.01,0.02,2017-01-02,2017-01-06,208.83,0.02,210.15,201.1,-0.04,-0.01,-0.04,0.01
SHREECEM,78,454,-376,2016-12-27,2017-01-02,14074.1,0.03,13527.9,14517.6,0.07,0.02,-0.01,0.06,2017-01-02,2017-01-06,14244.82,0.01,14517.6,14298.5,-0.02,-0.0,-0.03,0.01
STCINDIA,1,383,-382,2016-12-27,2017-01-02,209.0,0.05,189.4,229.7,0.19,0.05,0.0,0.1,2017-01-02,2017-01-06,220.31,0.05,229.7,228.55,-0.01,-0.0,-0.05,0.05
ABIRLANUVO,37,424,-387,2016-12-27,2017-01-02,1236.75,0.02,1181.7,1290.1,0.09,0.02,0.01,0.05,2017-01-02,2017-01-06,1287.45,0.01,1290.1,1271.25,-0.01,-0.0,-0.02,0.0
BASF,75,465,-390,2016-12-27,2017-01-02,1120.96,0.01,1075.15,1155.7,0.07,0.02,-0.0,0.03,2017-01-02,2017-01-06,1145.95,0.01,1155.7,1123.6,-0.03,-0.01,-0.02,0.0
ITDCEM,5,400,-395,2016-12-27,2017-01-02,150.25,0.04,144.1,165.9,0.14,0.04,0.01,0.11,2017-01-02,2017-01-06,164.11,0.02,165.9,163.45,-0.01,-0.0,-0.03,0.02
HCC,9,408,-399,2016-12-27,2017-01-02,38.71,0.02,36.95,41.9,0.13,0.03,0.0,0.06,2017-01-02,2017-01-06,42.45,0.02,41.9,41.6,-0.01,-0.0,-0.04,0.01
JAGRAN,59,458,-399,2016-12-27,2017-01-02,173.22,0.01,165.55,179.45,0.08,0.02,0.0,0.03,2017-01-02,2017-01-06,178.66,0.01,179.45,175.4,-0.02,-0.01,-0.02,0.01
OBEROIRLTY,48,447,-399,2016-12-27,2017-01-02,295.83,0.02,288.35,311.9,0.08,0.02,0.01,0.05,2017-01-02,2017-01-06,310.28,0.01,311.9,305.65,-0.02,-0.01,-0.02,0.01
IDEA,67,469,-402,2016-12-27,2017-01-02,72.65,0.0,70.0,74.95,0.07,0.02,0.01,0.02,2017-01-02,2017-01-06,74.04,0.02,74.95,72.9,-0.03,-0.01,-0.03,0.01
HINDCOPPER,47,452,-405,2016-12-27,2017-01-02,59.98,0.02,58.45,63.5,0.08,0.02,0.0,0.06,2017-01-02,2017-01-06,62.71,0.02,63.5,62.25,-0.02,-0.0,-0.02,0.02
NILKAMAL,14,420,-406,2016-12-27,2017-01-02,1286.53,0.05,1252.9,1407.95,0.12,0.03,-0.01,0.11,2017-01-02,2017-01-06,1419.78,0.02,1407.95,1400.55,-0.01,-0.0,-0.02,0.02
NBCC,15,423,-408,2016-12-27,2017-01-02,236.51,0.02,225.0,253.45,0.12,0.03,0.01,0.06,2017-01-02,2017-01-06,251.11,0.02,253.45,250.95,-0.01,-0.0,-0.03,0.01
SUPRAJIT,52,483,-431,2016-12-27,2017-01-02,190.79,0.03,188.6,204.1,0.08,0.02,-0.02,0.07,2017-01-02,2017-01-06,201.26,0.01,204.1,194.5,-0.05,-0.01,-0.02,0.01
DREDGECORP,7,439,-432,2016-12-27,2017-01-02,395.85,0.06,385.65,441.1,0.13,0.03,-0.01,0.14,2017-01-02,2017-01-06,435.98,0.02,441.1,432.95,-0.02,-0.0,-0.02,0.03
ICIL,40,484,-444,2016-12-27,2017-01-02,161.83,0.01,154.6,169.75,0.09,0.02,0.0,0.04,2017-01-02,2017-01-06,166.51,0.02,169.75,160.95,-0.05,-0.01,-0.03,0.01
NATIONALUM,10,467,-457,2016-12-27,2017-01-02,62.78,0.01,58.6,66.85,0.13,0.03,0.02,0.05,2017-01-02,2017-01-06,66.24,0.02,66.85,65.05,-0.03,-0.01,-0.03,0.02
JKCEMENT,6,471,-465,2016-12-27,2017-01-02,692.47,0.02,639.6,738.0,0.14,0.04,0.01,0.06,2017-01-02,2017-01-06,728.27,0.01,738.0,716.55,-0.03,-0.01,-0.02,0.0
KOLTEPATIL,2,488,-486,2016-12-27,2017-01-02,86.3,0.08,83.3,99.8,0.18,0.05,-0.01,0.18,2017-01-02,2017-01-06,94.25,0.02,99.8,90.95,-0.09,-0.02,-0.06,-0.0
