Symbol,Start_Price,Mean_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Volatility
UPL.NS,627.0,697.04,738.45,0.16,0.0,-0.02,0.04,0.02
EIDPARRY.NS,243.65,277.93,286.8,0.16,0.0,-0.02,0.05,0.02
VIPIND.NS,115.65,125.08,136.0,0.16,0.0,-0.02,0.05,0.02
TATACHEM.NS,486.5,523.86,570.3,0.16,0.0,-0.03,0.04,0.01
NHPC.NS,26.2,28.4,30.9,0.16,0.0,-0.07,0.09,0.03
ASTRAL.NS,385.05,395.75,449.9,0.16,0.0,-0.02,0.07,0.02
BIOCON.NS,930.6,996.35,1089.8,0.16,0.0,-0.04,0.05,0.02
SHREECEM.NS,13628.5,15006.69,16009.4,0.16,0.0,-0.03,0.06,0.02
NATIONALUM.NS,57.8,69.67,68.05,0.16,0.0,-0.06,0.07,0.03
GRASIM.NS,828.55,885.93,974.65,0.16,0.0,-0.06,0.04,0.02
ORIENTBANK.NS,108.25,114.61,125.6,0.15,0.0,-0.04,0.05,0.02
NETWORK18.NS,32.5,35.4,37.75,0.15,0.0,-0.04,0.09,0.02
ADANIPORTS.NS,262.9,289.71,304.8,0.15,0.0,-0.04,0.04,0.02
AHLUCONT.NS,250.0,267.28,290.15,0.15,0.0,-0.02,0.04,0.02
STAR.NS,1040.35,1117.02,1205.35,0.15,0.0,-0.02,0.1,0.02
EVEREADY.NS,213.7,232.09,248.25,0.15,0.0,-0.04,0.06,0.02
SRF.NS,1493.95,1631.14,1743.4,0.15,0.0,-0.02,0.05,0.01
GREAVESCOT.NS,119.7,129.95,139.7,0.15,0.0,-0.03,0.04,0.02
GREENPLY.NS,247.5,258.6,286.75,0.15,0.0,-0.04,0.05,0.02
VRLLOG.NS,264.6,284.29,306.0,0.15,0.0,-0.02,0.03,0.01
DREDGECORP.NS,394.5,445.91,459.95,0.15,0.0,-0.03,0.14,0.03
GRUH.NS,311.15,334.61,360.9,0.15,0.0,-0.03,0.05,0.02
BOSCHLTD.NS,19715.9,21512.53,22966.1,0.15,0.0,-0.02,0.05,0.02
GSFC.NS,93.55,107.68,108.75,0.15,0.0,-0.05,0.04,0.02
EROSMEDIA.NS,162.15,173.4,188.0,0.15,0.0,-0.05,0.12,0.03
ACC.NS,1296.3,1367.57,1485.5,0.14,0.0,-0.03,0.04,0.02
ASIANPAINT.NS,874.0,943.07,1002.85,0.14,0.0,-0.02,0.03,0.01
STCINDIA.NS,143.5,199.94,165.55,0.14,0.0,-0.05,0.18,0.05
FINPIPE.NS,436.2,457.87,501.8,0.14,0.0,-0.03,0.05,0.02
WHIRLPOOL.NS,868.1,935.89,995.1,0.14,0.0,-0.04,0.04,0.02
VEDL.NS,216.65,238.51,249.3,0.14,0.0,-0.04,0.05,0.02
SYNDIBANK.NS,61.65,65.64,70.8,0.14,0.0,-0.03,0.06,0.02
JKIL.NS,196.95,224.02,227.4,0.14,0.0,-0.04,0.06,0.02
ATUL.NS,2020.15,2169.7,2321.8,0.14,0.0,-0.04,0.04,0.02
ALOKTEXT.NS,3.1,3.44,3.55,0.14,0.0,-0.04,0.12,0.03
ITDCEM.NS,142.75,159.69,163.6,0.14,0.0,-0.03,0.11,0.02
HINDALCO.NS,159.3,174.26,183.7,0.14,0.0,-0.05,0.06,0.03
HINDCOPPER.NS,58.55,65.24,67.55,0.14,0.0,-0.04,0.06,0.02
DBREALTY.NS,37.7,39.77,43.2,0.14,0.0,-0.04,0.05,0.02
SOUTHBANK.NS,20.05,21.0,23.05,0.14,0.0,-0.06,0.04,0.02
OFSS.NS,3202.25,3294.59,3687.1,0.14,0.0,-0.02,0.06,0.02
ICIL.NS,158.35,173.53,181.65,0.14,0.0,-0.04,0.05,0.02
JBFIND.NS,208.85,223.93,240.15,0.14,0.0,-0.04,0.08,0.02
SUNTECK.NS,216.85,238.39,250.35,0.14,0.0,-0.04,0.05,0.02
JISLJALEQS.NS,84.85,92.49,96.6,0.13,0.0,-0.06,0.04,0.02
JSWHL.NS,1336.7,1446.1,1529.9,0.13,0.0,-0.02,0.02,0.01
ORIENTCEM.NS,119.55,130.13,135.95,0.13,0.0,-0.03,0.05,0.02
POLARIS.NS,143.8,157.53,163.25,0.13,0.0,-0.03,0.03,0.01
MOTILALOFS.NS,519.1,540.27,593.1,0.13,0.0,-0.04,0.05,0.02
3MINDIA.NS,10301.5,11721.49,11790.2,0.13,0.0,-0.02,0.07,0.02
GAIL.NS,431.55,455.73,490.35,0.13,0.0,-0.03,0.05,0.02
COFFEEDAY.NS,197.3,199.14,224.6,0.13,0.0,-0.02,0.1,0.02
CUB.NS,131.25,142.89,150.15,0.13,0.0,-0.06,0.04,0.02
CUMMINSIND.NS,797.75,841.33,906.0,0.13,0.0,-0.04,0.06,0.02
CASTROLIND.NS,366.55,395.68,418.35,0.13,0.0,-0.03,0.03,0.01
EICHERMOT.NS,20921.9,22685.45,23893.2,0.13,0.0,-0.03,0.04,0.02
SNOWMAN.NS,51.15,56.43,58.2,0.13,0.0,-0.04,0.06,0.02
BRITANNIA.NS,2831.2,3025.76,3225.95,0.13,0.0,-0.02,0.03,0.01
SKFINDIA.NS,1245.25,1288.77,1411.95,0.13,0.0,-0.02,0.04,0.01
SJVN.NS,29.7,31.56,33.9,0.13,0.0,-0.03,0.07,0.02
FINCABLES.NS,404.15,425.21,462.45,0.13,0.0,-0.03,0.04,0.01
BRIGADE.NS,148.0,155.42,169.05,0.13,0.0,-0.03,0.05,0.01
BRFL.NS,138.2,149.81,158.0,0.13,0.0,-0.03,0.11,0.02
SIEMENS.NS,1070.85,1155.79,1224.2,0.13,0.0,-0.03,0.03,0.01
SWANENERGY.NS,150.15,170.21,170.25,0.13,0.0,-0.12,0.06,0.03
HDFC.NS,1224.85,1286.6,1396.9,0.13,0.0,-0.04,0.04,0.01
HTMEDIA.NS,73.15,77.98,83.05,0.13,0.0,-0.03,0.05,0.02
IBREALEST.NS,70.65,78.17,80.7,0.13,0.0,-0.04,0.06,0.02
BAJAJHLDNG.NS,1806.85,1908.9,2058.55,0.13,0.0,-0.03,0.03,0.01
RTNPOWER.NS,6.65,7.11,7.6,0.13,0.0,-0.05,0.06,0.02
TATAELXSI.NS,1323.35,1431.39,1501.05,0.13,0.0,-0.03,0.06,0.02
SYMPHONY.NS,1181.9,1219.66,1349.6,0.13,0.0,-0.03,0.11,0.02
RELINFRA.NS,477.75,503.86,543.3,0.13,0.0,-0.07,0.03,0.02
MAYURUNIQ.NS,339.45,356.97,382.95,0.12,0.0,-0.02,0.04,0.01
ALKEM.NS,1601.2,1678.12,1812.2,0.12,0.0,-0.04,0.04,0.01
CAIRN.NS,243.95,263.5,274.35,0.12,0.0,-0.03,0.04,0.02
BEL.NS,1384.95,1485.5,1564.35,0.12,0.0,-0.03,0.04,0.02
AMTEKAUTO.NS,32.9,34.1,36.95,0.12,0.0,-0.04,0.11,0.02
TATACOFFEE.NS,113.7,119.66,128.65,0.12,0.0,-0.04,0.06,0.02
BALKRISIND.NS,1048.95,1116.23,1184.5,0.12,0.0,-0.03,0.08,0.02
BIRLACORPN.NS,641.1,697.58,725.6,0.12,0.0,-0.03,0.06,0.02
RELCAPITAL.NS,437.55,453.86,493.25,0.12,0.0,-0.06,0.04,0.02
RAJESHEXPO.NS,441.6,488.61,497.4,0.12,0.0,-0.02,0.04,0.01
SIMPLEXINF.NS,275.1,293.23,311.35,0.12,0.0,-0.04,0.09,0.03
PFS.NS,37.2,40.65,41.8,0.12,0.0,-0.04,0.05,0.02
ICICIBANK.NS,251.85,265.36,285.0,0.12,0.0,-0.02,0.05,0.02
