,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
ADANIPORTS,2016-11-08,2017-01-03,272.74,9.29,289.85,273.95,-5.49,-6.04,4.3
TATACOFFEE,2016-11-08,2017-01-03,114.96,3.37,123.7,116.9,-5.5,-4.79,3.29
ATUL,2016-11-08,2017-01-03,2096.52,71.24,2175.5,2054.05,-5.58,-6.19,4.93
BAJAJHIND,2016-11-08,2017-01-03,14.11,0.77,16.0,15.1,-5.63,-4.37,6.06
IBREALEST,2016-11-08,2017-01-03,69.71,3.36,80.6,76.05,-5.65,-18.24,9.96
APOLLOHOSP,2016-11-08,2017-01-03,1204.37,40.88,1279.15,1205.45,-5.76,-6.02,3.55
EXIDEIND,2016-11-08,2017-01-03,177.58,5.28,194.2,183.0,-5.77,-6.48,3.12
GREAVESCOT,2016-11-08,2017-01-03,124.56,3.42,132.45,124.8,-5.78,-2.68,2.56
JPPOWER,2016-11-08,2017-01-03,3.99,0.12,4.3,4.05,-5.81,-5.19,5.48
ESCORTS,2016-11-08,2017-01-03,310.79,17.44,346.85,326.65,-5.82,-10.64,8.11
SFCL,2016-11-08,2017-01-03,97.13,3.8,105.35,99.2,-5.84,-9.44,6.3
JBFIND,2016-11-08,2017-01-03,205.97,6.79,225.15,211.95,-5.86,-4.02,5.66
SCHNEIDER,2016-11-08,2017-01-03,141.22,5.81,156.5,147.2,-5.94,-5.24,7.96
BBTC,2016-11-08,2017-01-03,504.43,19.78,559.3,525.9,-5.97,-6.32,3.75
LINDEINDIA,2016-11-08,2017-01-03,357.61,9.0,374.6,352.15,-5.99,-6.49,6.35
PEL,2016-11-08,2017-01-03,1596.61,96.86,1680.5,1578.0,-6.1,-7.91,10.27
RPOWER,2016-11-08,2017-01-03,41.42,1.35,44.7,41.95,-6.15,-4.62,3.74
TITAN,2016-11-08,2017-01-03,322.24,13.48,371.15,348.15,-6.2,-6.02,4.25
DCMSHRIRAM,2016-11-08,2017-01-03,212.47,7.96,237.55,222.6,-6.29,-8.68,5.86
MAHINDCIE,2016-11-08,2017-01-03,185.28,4.91,194.9,182.6,-6.31,-3.87,6.84
RKFORGE,2016-11-08,2017-01-03,302.42,13.19,331.0,310.0,-6.34,-7.29,13.65
VRLLOG,2016-11-08,2017-01-03,266.79,6.5,280.25,262.35,-6.39,-4.5,2.9
CAPLIPOINT,2016-11-08,2017-01-03,351.47,10.43,365.45,342.0,-6.42,-4.63,3.65
SEQUENT,2016-11-08,2017-01-03,112.71,4.52,122.65,114.7,-6.48,-9.37,5.2
INTELLECT,2016-11-08,2017-01-03,143.54,11.36,153.55,143.5,-6.55,-8.75,18.36
JYOTHYLAB,2016-11-08,2017-01-03,349.89,14.25,359.85,336.15,-6.59,-10.06,8.22
CENTRALBK,2016-11-08,2017-01-03,84.45,3.62,89.95,84.0,-6.61,-5.15,6.76
RELIGARE,2016-11-08,2017-01-03,261.43,8.36,268.1,250.15,-6.7,-8.69,5.53
ECLERX,2016-11-08,2017-01-03,1432.47,48.64,1498.2,1397.55,-6.72,-4.97,3.33
BAJAJCORP,2016-11-08,2017-01-03,370.33,13.52,404.2,376.85,-6.77,-3.35,2.61
VOLTAS,2016-11-08,2017-01-03,317.15,14.02,357.0,332.7,-6.81,-7.76,4.66
TNPL,2016-11-08,2017-01-03,341.0,12.97,367.0,341.6,-6.92,-6.57,6.54
TUBEINVEST,2016-11-08,2017-01-03,582.86,15.63,626.35,582.8,-6.95,-4.36,3.47
IPCALAB,2016-11-08,2017-01-03,548.41,18.83,570.5,530.25,-7.06,-5.41,3.12
NILKAMAL,2016-11-08,2017-01-03,1338.72,76.37,1550.75,1441.1,-7.07,-7.6,11.45
ORIENTBANK,2016-11-08,2017-01-03,115.7,6.25,116.05,107.75,-7.15,-5.48,9.58
AXISBANK,2016-11-08,2017-01-03,464.33,17.23,490.85,455.25,-7.25,-3.9,3.98
EICHERMOT,2016-11-08,2017-01-03,21698.53,991.21,24267.8,22500.7,-7.28,-6.57,5.34
SYNDIBANK,2016-11-08,2017-01-03,65.71,3.12,67.0,62.05,-7.39,-4.44,10.93
HMVL,2016-11-08,2017-01-03,269.64,8.43,291.65,269.95,-7.44,-5.61,3.43
PRESTIGE,2016-11-08,2017-01-03,161.69,9.37,183.3,169.65,-7.45,-5.42,6.93
IGARASHI,2016-11-08,2017-01-03,720.91,21.7,783.1,724.7,-7.46,-6.39,6.05
DABUR,2016-11-08,2017-01-03,277.61,7.93,297.75,275.5,-7.47,-5.73,4.06
DYNAMATECH,2016-11-08,2017-01-03,2948.79,114.84,3263.5,3017.0,-7.55,-8.44,3.46
RAMCOCEM,2016-11-08,2017-01-03,556.51,29.53,615.9,569.2,-7.58,-6.73,5.84
