,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
UPL,2016-08-18,2017-01-03,660.69,28.77,644.05,655.0,1.7,-7.22,7.27
OBEROIRLTY,2016-08-18,2017-01-03,306.42,21.9,305.15,310.2,1.65,-11.04,7.6
JBFIND,2016-08-18,2017-01-03,216.82,16.52,208.75,211.95,1.53,-5.33,15.59
DRREDDY,2016-08-18,2017-01-03,3135.51,83.85,3027.2,3072.4,1.49,-5.6,5.24
EICHERMOT,2016-08-18,2017-01-03,23065.1,1654.37,22174.8,22500.7,1.47,-6.57,5.42
FLFL,2016-08-18,2017-01-03,127.67,6.23,129.4,131.05,1.28,-7.37,10.92
IDBI,2016-08-18,2017-01-03,71.09,2.76,69.0,69.85,1.23,-7.65,4.88
GULFOILLUB,2016-08-18,2017-01-03,712.41,40.02,683.05,687.7,0.68,-6.69,6.05
MPHASIS,2016-08-18,2017-01-03,530.29,19.21,534.1,537.45,0.63,-5.35,4.79
ICICIBANK,2016-08-18,2017-01-03,262.81,11.0,252.9,254.4,0.59,-5.54,7.03
MAGMA,2016-08-18,2017-01-03,104.35,7.45,103.65,104.05,0.39,-12.07,12.43
BLUESTARCO,2016-08-18,2017-01-03,508.2,38.68,488.05,489.9,0.38,-7.61,4.89
TORNTPOWER,2016-08-18,2017-01-03,178.03,6.08,177.55,178.15,0.34,-3.95,5.46
ABIRLANUVO,2016-08-18,2017-01-03,1307.74,80.87,1287.75,1291.55,0.3,-8.12,4.73
GODREJCP,2016-08-18,2017-01-03,1534.83,79.09,1529.5,1533.2,0.24,-6.58,4.8
RAMCOCEM,2016-08-18,2017-01-03,581.17,35.72,568.1,569.2,0.19,-6.73,5.84
CANBK,2016-08-18,2017-01-03,300.76,19.28,264.65,264.8,0.06,-5.88,6.84
NHPC,2016-08-18,2017-01-03,26.44,0.89,27.3,27.3,0.0,-4.32,4.55
ABFRL,2016-08-18,2017-01-03,220.35,0.0,220.35,220.35,0.0,0.0,0.0
FSL,2016-08-18,2017-01-03,34.75,0.0,34.75,34.75,0.0,0.0,0.0
IFCI,2016-08-18,2017-01-03,26.19,2.14,27.35,27.35,0.0,-9.51,16.45
ALLCARGO,2016-08-18,2017-01-03,180.64,9.34,184.15,184.05,-0.05,-7.95,6.81
VIDEOIND,2016-08-18,2017-01-03,104.1,0.22,104.5,104.25,-0.24,-0.67,0.68
CCL,2016-08-18,2017-01-03,257.81,11.46,268.45,267.5,-0.35,-5.77,6.38
ROLTA,2016-08-18,2017-01-03,61.45,4.42,63.95,63.7,-0.39,-5.86,20.0
HMVL,2016-08-18,2017-01-03,280.58,12.99,271.35,269.95,-0.52,-5.61,3.8
ADANIPORTS,2016-08-18,2017-01-03,273.0,12.85,275.45,273.95,-0.54,-6.04,9.5
RCF,2016-08-18,2017-01-03,46.85,2.13,48.05,47.75,-0.62,-5.92,6.94
SUNTECK,2016-08-18,2017-01-03,236.5,30.54,236.7,235.15,-0.65,-19.76,8.73
KSBPUMPS,2016-08-18,2017-01-03,607.59,18.26,623.7,619.35,-0.7,-4.29,4.6
AIAENG,2016-08-18,2017-01-03,1255.3,43.26,1303.0,1292.4,-0.81,-4.18,6.34
NTPC,2016-08-18,2017-01-03,156.62,5.7,166.8,165.45,-0.81,-3.75,4.78
INOXWIND,2016-08-18,2017-01-03,197.99,14.68,188.15,186.6,-0.82,-5.84,11.9
CUB,2016-08-18,2017-01-03,136.44,6.49,133.8,132.35,-1.08,-6.25,5.0
MARKSANS,2016-08-18,2017-01-03,46.06,5.15,41.35,40.9,-1.09,-10.3,10.59
PHOENIXLTD,2016-08-18,2017-01-03,380.7,25.6,382.4,378.0,-1.15,-12.21,13.47
SBBJ,2016-08-18,2017-01-03,693.92,21.97,672.6,664.7,-1.17,-6.27,8.3
SANOFI,2016-08-18,2017-01-03,4279.26,73.68,4317.7,4264.75,-1.23,-3.26,2.98
MAHINDCIE,2016-08-18,2017-01-03,188.18,6.32,184.9,182.6,-1.24,-3.87,6.84
PGHH,2016-08-18,2017-01-03,6818.52,174.86,7027.85,6935.7,-1.31,-2.46,3.74
BIRLACORPN,2016-08-18,2017-01-03,685.59,50.13,676.65,667.35,-1.37,-6.02,6.3
SBIN,2016-08-18,2017-01-03,256.78,7.66,248.4,244.9,-1.41,-6.69,8.19
UBL,2016-08-18,2017-01-03,855.32,50.94,799.5,787.45,-1.51,-3.54,6.0
GRINDWELL,2016-08-18,2017-01-03,327.61,6.55,333.7,328.55,-1.54,-5.09,5.54
TATACHEM,2016-08-18,2017-01-03,519.76,34.59,517.95,509.75,-1.58,-5.91,5.02
TATAPOWER,2016-08-18,2017-01-03,76.0,3.16,76.9,75.65,-1.63,-3.95,3.84
BEML,2016-08-18,2017-01-03,933.17,75.58,1027.25,1009.3,-1.75,-12.19,6.0
CESC,2016-08-18,2017-01-03,621.57,27.21,655.5,643.95,-1.76,-5.18,5.23
KESORAMIND,2016-08-18,2017-01-03,151.41,20.93,140.2,137.7,-1.78,-9.59,8.4
INDIANB,2016-08-18,2017-01-03,226.65,13.94,228.15,224.0,-1.82,-7.82,18.27
INFRATEL,2016-08-18,2017-01-03,357.9,13.89,347.85,341.5,-1.83,-5.75,6.93
OMAXE,2016-08-18,2017-01-03,164.33,5.62,162.75,159.65,-1.9,-3.01,4.06
BHUSANSTL,2016-08-18,2017-01-03,41.84,1.81,41.95,41.15,-1.91,-9.79,7.8
CYIENT,2016-08-18,2017-01-03,488.96,17.33,503.0,491.95,-2.2,-6.58,10.98
NCC,2016-08-18,2017-01-03,83.38,4.62,85.95,84.0,-2.27,-8.09,12.01
OCL,2016-08-18,2017-01-03,826.72,76.59,782.4,763.7,-2.39,-9.5,6.1
ATUL,2016-08-18,2017-01-03,2187.69,124.24,2105.75,2054.05,-2.46,-6.19,5.62
INDIACEM,2016-08-18,2017-01-03,136.89,18.32,125.7,122.6,-2.47,-10.24,8.19
